gene	Pos	Strand	is_TF	is_SM_gene	SM_cluster
AN0066	ChrVIII_A_nidulans_FGSC_A4:4709800-4711400	-	FALSE	FALSE	NA
AN0067	ChrVIII_A_nidulans_FGSC_A4:4707084-4708831	-	FALSE	FALSE	NA
AN0068	ChrVIII_A_nidulans_FGSC_A4:4706190-4706965	+	FALSE	FALSE	NA
AN0069	ChrVIII_A_nidulans_FGSC_A4:4702502-4706074	+	FALSE	FALSE	NA
AN0070	ChrVIII_A_nidulans_FGSC_A4:4701324-4701980	+	FALSE	FALSE	NA
AN0071	ChrVIII_A_nidulans_FGSC_A4:4696364-4700524	-	FALSE	FALSE	NA
AN0072	ChrVIII_A_nidulans_FGSC_A4:4695009-4696432	+	FALSE	FALSE	NA
AN0073	ChrVIII_A_nidulans_FGSC_A4:4692846-4694849	-	FALSE	FALSE	NA
AN0074	ChrVIII_A_nidulans_FGSC_A4:4690952-4692911	+	FALSE	FALSE	NA
AN0075	ChrVIII_A_nidulans_FGSC_A4:4688817-4690510	+	FALSE	FALSE	NA
AN0076	ChrVIII_A_nidulans_FGSC_A4:4685662-4688664	+	FALSE	FALSE	NA
AN0077	ChrVIII_A_nidulans_FGSC_A4:4683921-4685386	-	FALSE	FALSE	NA
AN0078	ChrVIII_A_nidulans_FGSC_A4:4680808-4683881	+	FALSE	FALSE	NA
AN0080	ChrVIII_A_nidulans_FGSC_A4:4673068-4673873	-	FALSE	FALSE	NA
AN0081	ChrVIII_A_nidulans_FGSC_A4:4669166-4671479	-	FALSE	FALSE	NA
AN0082	ChrVIII_A_nidulans_FGSC_A4:4667071-4668785	-	FALSE	FALSE	NA
AN0083	ChrVIII_A_nidulans_FGSC_A4:4664557-4666636	+	FALSE	FALSE	NA
AN0084	ChrVIII_A_nidulans_FGSC_A4:4662950-4664414	+	FALSE	FALSE	NA
AN0085	ChrVIII_A_nidulans_FGSC_A4:4659561-4662671	+	FALSE	FALSE	NA
AN0086	ChrVIII_A_nidulans_FGSC_A4:4656496-4658973	+	FALSE	FALSE	NA
AN0087	ChrVIII_A_nidulans_FGSC_A4:4652444-4654571	-	FALSE	FALSE	NA
AN0088	ChrVIII_A_nidulans_FGSC_A4:4650666-4652418	+	FALSE	FALSE	NA
AN0089	ChrVIII_A_nidulans_FGSC_A4:4649074-4650369	+	FALSE	FALSE	NA
AN0090	ChrVIII_A_nidulans_FGSC_A4:4647982-4648912	-	FALSE	FALSE	NA
AN0091	ChrVIII_A_nidulans_FGSC_A4:4646003-4647944	+	FALSE	FALSE	NA
AN0092	ChrVIII_A_nidulans_FGSC_A4:4643193-4645797	+	FALSE	FALSE	NA
AN0093	ChrVIII_A_nidulans_FGSC_A4:4640119-4642890	-	FALSE	FALSE	NA
AN0094	ChrVIII_A_nidulans_FGSC_A4:4636765-4640075	+	TRUE	FALSE	NA
AN0095	ChrVIII_A_nidulans_FGSC_A4:4632765-4634642	+	FALSE	FALSE	NA
AN0096	ChrVIII_A_nidulans_FGSC_A4:4628554-4632282	-	TRUE	FALSE	NA
AN0097	ChrVIII_A_nidulans_FGSC_A4:4624611-4628385	-	FALSE	FALSE	NA
AN0098	ChrVIII_A_nidulans_FGSC_A4:4616934-4620377	-	TRUE	FALSE	NA
AN0099	ChrVIII_A_nidulans_FGSC_A4:4615838-4616800	+	FALSE	FALSE	NA
AN0100	ChrVIII_A_nidulans_FGSC_A4:4613962-4615108	-	FALSE	FALSE	NA
AN0101	ChrVIII_A_nidulans_FGSC_A4:4612789-4613642	+	FALSE	FALSE	NA
AN0102	ChrVIII_A_nidulans_FGSC_A4:4610062-4611330	+	FALSE	FALSE	NA
AN0103	ChrVIII_A_nidulans_FGSC_A4:4603568-4605178	+	FALSE	FALSE	NA
AN0104	ChrVIII_A_nidulans_FGSC_A4:4600075-4602068	-	FALSE	FALSE	NA
AN0105	ChrVIII_A_nidulans_FGSC_A4:4599997-4601361	+	FALSE	FALSE	NA
AN0106	ChrVIII_A_nidulans_FGSC_A4:4594398-4598844	-	FALSE	FALSE	NA
AN0107	ChrVIII_A_nidulans_FGSC_A4:4592525-4593508	-	FALSE	FALSE	NA
AN0108	ChrVIII_A_nidulans_FGSC_A4:4586865-4590835	-	FALSE	FALSE	NA
AN0109	ChrVIII_A_nidulans_FGSC_A4:4584928-4586549	-	FALSE	FALSE	NA
AN0110	ChrVIII_A_nidulans_FGSC_A4:4584224-4585392	+	FALSE	FALSE	NA
AN0111	ChrVIII_A_nidulans_FGSC_A4:4580583-4584046	-	FALSE	FALSE	NA
AN0112	ChrVIII_A_nidulans_FGSC_A4:4575156-4580481	+	FALSE	FALSE	NA
AN0113	ChrVIII_A_nidulans_FGSC_A4:4568719-4574367	-	FALSE	FALSE	NA
AN0114	ChrVIII_A_nidulans_FGSC_A4:4566805-4568805	+	FALSE	FALSE	NA
AN0116	ChrVIII_A_nidulans_FGSC_A4:4555052-4556036	+	FALSE	FALSE	NA
AN0117	ChrVIII_A_nidulans_FGSC_A4:4553064-4554662	-	FALSE	FALSE	NA
AN0118	ChrVIII_A_nidulans_FGSC_A4:4537940-4551540	+	FALSE	FALSE	NA
AN0118-uORF	ChrVIII_A_nidulans_FGSC_A4:4538214-4538240	+	FALSE	FALSE	NA
AN0119	ChrVIII_A_nidulans_FGSC_A4:4535061-4536675	+	FALSE	FALSE	NA
AN0120	ChrVIII_A_nidulans_FGSC_A4:4532881-4534125	-	FALSE	FALSE	NA
AN0121	ChrVIII_A_nidulans_FGSC_A4:4531483-4532913	+	FALSE	FALSE	NA
AN0122	ChrVIII_A_nidulans_FGSC_A4:4527801-4530995	-	FALSE	FALSE	NA
AN0123	ChrVIII_A_nidulans_FGSC_A4:4526681-4527715	+	FALSE	FALSE	NA
AN0124	ChrVIII_A_nidulans_FGSC_A4:4524951-4526478	+	FALSE	FALSE	NA
AN0126	ChrVIII_A_nidulans_FGSC_A4:4516127-4518613	-	FALSE	FALSE	NA
AN0127	ChrVIII_A_nidulans_FGSC_A4:4513974-4516269	+	FALSE	FALSE	NA
AN0128	ChrVIII_A_nidulans_FGSC_A4:4509441-4513802	-	FALSE	FALSE	NA
AN0129	ChrVIII_A_nidulans_FGSC_A4:4505302-4508580	-	FALSE	FALSE	NA
AN0130	ChrVIII_A_nidulans_FGSC_A4:4501545-4502968	-	FALSE	FALSE	NA
AN0131	ChrVIII_A_nidulans_FGSC_A4:4500712-4501681	+	FALSE	FALSE	NA
AN0132	ChrVIII_A_nidulans_FGSC_A4:4498216-4500588	-	FALSE	FALSE	NA
AN0133	ChrVIII_A_nidulans_FGSC_A4:4495368-4497825	+	FALSE	FALSE	NA
AN0134	ChrVIII_A_nidulans_FGSC_A4:4491941-4495189	-	FALSE	FALSE	NA
AN0135	ChrVIII_A_nidulans_FGSC_A4:4487317-4490651	-	FALSE	FALSE	NA
AN0136	ChrVIII_A_nidulans_FGSC_A4:4485406-4486009	+	FALSE	FALSE	NA
AN0137	ChrVIII_A_nidulans_FGSC_A4:4480723-4484778	-	FALSE	FALSE	NA
AN0138	ChrVIII_A_nidulans_FGSC_A4:4478957-4480520	-	FALSE	FALSE	NA
AN0139	ChrVIII_A_nidulans_FGSC_A4:4476508-4478949	+	FALSE	FALSE	NA
AN0140	ChrVIII_A_nidulans_FGSC_A4:4473917-4475481	-	FALSE	FALSE	NA
AN0141	ChrVIII_A_nidulans_FGSC_A4:4472107-4474031	+	FALSE	FALSE	NA
AN0142	ChrVIII_A_nidulans_FGSC_A4:4470430-4471989	-	FALSE	FALSE	NA
AN0143	ChrVIII_A_nidulans_FGSC_A4:4469653-4470463	+	FALSE	FALSE	NA
AN0144	ChrVIII_A_nidulans_FGSC_A4:4465230-4468374	+	FALSE	FALSE	NA
AN0146	ChrVIII_A_nidulans_FGSC_A4:4456322-4457425	+	FALSE	TRUE	SM_cluster_02
AN0147	ChrVIII_A_nidulans_FGSC_A4:4453988-4455950	+	FALSE	TRUE	SM_cluster_02
AN0148	ChrVIII_A_nidulans_FGSC_A4:4452305-4453889	+	TRUE	TRUE	SM_cluster_02
AN0149	ChrVIII_A_nidulans_FGSC_A4:4449914-4451276	+	FALSE	TRUE	SM_cluster_02
AN0150	ChrVIII_A_nidulans_FGSC_A4:4443884-4449595	-	FALSE	TRUE	SM_cluster_02
AN0153	ChrVIII_A_nidulans_FGSC_A4:4432613-4435547	-	TRUE	TRUE	SM_cluster_02
AN0154	ChrVIII_A_nidulans_FGSC_A4:4431391-4432476	-	FALSE	TRUE	SM_cluster_02
AN0156	ChrVIII_A_nidulans_FGSC_A4:4423754-4425606	+	FALSE	TRUE	SM_cluster_02
AN0157	ChrVIII_A_nidulans_FGSC_A4:4421278-4422609	-	FALSE	TRUE	SM_cluster_02
AN0158	ChrVIII_A_nidulans_FGSC_A4:4420073-4421434	+	FALSE	TRUE	SM_cluster_02
AN0159	ChrVIII_A_nidulans_FGSC_A4:4415378-4418623	-	FALSE	FALSE	NA
AN0160	ChrVIII_A_nidulans_FGSC_A4:4413772-4414885	+	FALSE	FALSE	NA
AN0161	ChrVIII_A_nidulans_FGSC_A4:4411514-4413431	+	FALSE	FALSE	NA
AN0162	ChrVIII_A_nidulans_FGSC_A4:4408952-4411450	+	FALSE	FALSE	NA
AN0163	ChrVIII_A_nidulans_FGSC_A4:4405518-4406851	-	FALSE	FALSE	NA
AN0164	ChrVIII_A_nidulans_FGSC_A4:4404004-4405632	+	FALSE	FALSE	NA
AN0165	ChrVIII_A_nidulans_FGSC_A4:4401064-4403861	+	FALSE	FALSE	NA
AN0166	ChrVIII_A_nidulans_FGSC_A4:4398450-4400273	+	FALSE	FALSE	NA
AN0167	ChrVIII_A_nidulans_FGSC_A4:4396578-4398236	-	FALSE	FALSE	NA
AN0168	ChrVIII_A_nidulans_FGSC_A4:4389415-4391907	-	FALSE	FALSE	NA
AN0169	ChrVIII_A_nidulans_FGSC_A4:4388863-4389384	+	FALSE	FALSE	NA
AN0170	ChrVIII_A_nidulans_FGSC_A4:4387377-4388858	-	FALSE	FALSE	NA
AN0171	ChrVIII_A_nidulans_FGSC_A4:4384613-4385972	+	FALSE	FALSE	NA
AN0172	ChrVIII_A_nidulans_FGSC_A4:4376265-4378904	-	FALSE	FALSE	NA
AN0173	ChrVIII_A_nidulans_FGSC_A4:4373387-4375739	+	FALSE	FALSE	NA
AN0174	ChrVIII_A_nidulans_FGSC_A4:4371006-4372432	-	FALSE	FALSE	NA
AN0176	ChrVIII_A_nidulans_FGSC_A4:4363512-4366755	-	TRUE	FALSE	NA
AN0177	ChrVIII_A_nidulans_FGSC_A4:4363125-4363403	+	FALSE	FALSE	NA
AN0178	ChrVIII_A_nidulans_FGSC_A4:4361082-4362951	+	FALSE	FALSE	NA
AN0179	ChrVIII_A_nidulans_FGSC_A4:4356849-4358118	-	FALSE	FALSE	NA
AN0180	ChrVIII_A_nidulans_FGSC_A4:4355798-4356737	+	FALSE	FALSE	NA
AN0181	ChrVIII_A_nidulans_FGSC_A4:4353938-4355006	-	FALSE	FALSE	NA
AN0182	ChrVIII_A_nidulans_FGSC_A4:4349939-4351403	-	FALSE	FALSE	NA
AN0183	ChrVIII_A_nidulans_FGSC_A4:4348572-4349673	+	FALSE	FALSE	NA
AN0184	ChrVIII_A_nidulans_FGSC_A4:4347131-4348423	-	FALSE	FALSE	NA
AN0186	ChrVIII_A_nidulans_FGSC_A4:4343647-4345223	-	FALSE	FALSE	NA
AN0187	ChrVIII_A_nidulans_FGSC_A4:4341215-4341615	+	FALSE	FALSE	NA
AN0189	ChrVIII_A_nidulans_FGSC_A4:4333821-4335358	-	FALSE	FALSE	NA
AN0190	ChrVIII_A_nidulans_FGSC_A4:4332494-4333752	+	FALSE	FALSE	NA
AN0191	ChrVIII_A_nidulans_FGSC_A4:4330719-4332333	+	FALSE	FALSE	NA
AN0192	ChrVIII_A_nidulans_FGSC_A4:4329809-4330597	-	FALSE	FALSE	NA
AN0193	ChrVIII_A_nidulans_FGSC_A4:4328732-4329885	+	FALSE	FALSE	NA
AN0194	ChrVIII_A_nidulans_FGSC_A4:4325241-4328180	-	FALSE	FALSE	NA
AN0195	ChrVIII_A_nidulans_FGSC_A4:4322705-4324441	-	FALSE	FALSE	NA
AN0196	ChrVIII_A_nidulans_FGSC_A4:4321269-4322661	+	FALSE	FALSE	NA
AN0197	ChrVIII_A_nidulans_FGSC_A4:4316970-4319576	-	TRUE	FALSE	NA
AN0198	ChrVIII_A_nidulans_FGSC_A4:4315902-4316855	+	FALSE	FALSE	NA
AN0200	ChrVIII_A_nidulans_FGSC_A4:4311189-4312293	+	FALSE	FALSE	NA
AN0201	ChrVIII_A_nidulans_FGSC_A4:4308538-4310437	+	FALSE	FALSE	NA
AN0202	ChrVIII_A_nidulans_FGSC_A4:4305861-4308119	-	TRUE	FALSE	NA
AN0203	ChrVIII_A_nidulans_FGSC_A4:4303904-4305380	-	FALSE	FALSE	NA
AN0204	ChrVIII_A_nidulans_FGSC_A4:4301496-4303917	+	FALSE	FALSE	NA
AN0205	ChrVIII_A_nidulans_FGSC_A4:4299993-4301298	+	FALSE	FALSE	NA
AN0206	ChrVIII_A_nidulans_FGSC_A4:4296596-4299522	-	FALSE	FALSE	NA
AN0207	ChrVIII_A_nidulans_FGSC_A4:4294940-4296685	+	FALSE	FALSE	NA
AN0208	ChrVIII_A_nidulans_FGSC_A4:4291085-4293219	+	FALSE	FALSE	NA
AN0209	ChrVIII_A_nidulans_FGSC_A4:4287748-4290009	-	FALSE	FALSE	NA
AN0210	ChrVIII_A_nidulans_FGSC_A4:4284329-4287215	-	FALSE	FALSE	NA
AN0211	ChrVIII_A_nidulans_FGSC_A4:4282239-4283653	-	FALSE	FALSE	NA
AN0212	ChrVIII_A_nidulans_FGSC_A4:4280753-4281935	-	FALSE	FALSE	NA
AN0213	ChrVIII_A_nidulans_FGSC_A4:4275696-4277304	-	FALSE	FALSE	NA
AN0214	ChrVIII_A_nidulans_FGSC_A4:4270437-4274093	-	FALSE	FALSE	NA
AN0215	ChrVIII_A_nidulans_FGSC_A4:4268629-4270287	-	FALSE	FALSE	NA
AN0216	ChrVIII_A_nidulans_FGSC_A4:4266107-4267402	+	FALSE	FALSE	NA
AN0217	ChrVIII_A_nidulans_FGSC_A4:4262354-4264184	-	FALSE	FALSE	NA
AN0218	ChrVIII_A_nidulans_FGSC_A4:4259927-4262078	+	FALSE	FALSE	NA
AN0219	ChrVIII_A_nidulans_FGSC_A4:4256874-4259446	-	FALSE	FALSE	NA
AN0220	ChrVIII_A_nidulans_FGSC_A4:4251361-4251831	-	FALSE	FALSE	NA
AN0221	ChrVIII_A_nidulans_FGSC_A4:4248676-4250232	-	FALSE	FALSE	NA
AN0223	ChrVIII_A_nidulans_FGSC_A4:4241363-4242817	+	TRUE	FALSE	NA
AN0224	ChrVIII_A_nidulans_FGSC_A4:4235831-4237509	+	FALSE	FALSE	NA
AN0225	ChrVIII_A_nidulans_FGSC_A4:4229922-4235651	+	FALSE	FALSE	NA
AN0226	ChrVIII_A_nidulans_FGSC_A4:4228003-4229277	-	FALSE	FALSE	NA
AN0227	ChrVIII_A_nidulans_FGSC_A4:4225625-4227654	+	FALSE	FALSE	NA
AN0228	ChrVIII_A_nidulans_FGSC_A4:4221836-4225229	-	FALSE	FALSE	NA
AN0229	ChrVIII_A_nidulans_FGSC_A4:4217830-4221336	+	FALSE	FALSE	NA
AN0230	ChrVIII_A_nidulans_FGSC_A4:4210292-4211175	-	FALSE	FALSE	NA
AN0231	ChrVIII_A_nidulans_FGSC_A4:4208471-4209506	-	FALSE	FALSE	NA
AN0232	ChrVIII_A_nidulans_FGSC_A4:4207497-4208506	+	FALSE	FALSE	NA
AN0233	ChrVIII_A_nidulans_FGSC_A4:4204545-4206977	-	FALSE	FALSE	NA
AN0234	ChrVIII_A_nidulans_FGSC_A4:4203351-4204472	-	FALSE	FALSE	NA
AN0235	ChrVIII_A_nidulans_FGSC_A4:4199231-4202788	-	FALSE	FALSE	NA
AN0237	ChrVIII_A_nidulans_FGSC_A4:4189863-4193534	+	FALSE	FALSE	NA
AN0239	ChrVIII_A_nidulans_FGSC_A4:4175380-4183818	-	FALSE	FALSE	NA
AN0240	ChrVIII_A_nidulans_FGSC_A4:4173269-4174783	-	FALSE	FALSE	NA
AN0241	ChrVIII_A_nidulans_FGSC_A4:4171478-4172738	-	FALSE	FALSE	NA
AN0242	ChrVIII_A_nidulans_FGSC_A4:4168138-4171290	-	FALSE	FALSE	NA
AN0243	ChrVIII_A_nidulans_FGSC_A4:4166011-4167890	-	FALSE	FALSE	NA
AN0244	ChrVIII_A_nidulans_FGSC_A4:4160438-4165450	-	FALSE	FALSE	NA
AN0244-uORF	ChrVIII_A_nidulans_FGSC_A4:4165397-4165420	-	FALSE	FALSE	NA
AN0245	ChrVIII_A_nidulans_FGSC_A4:4158029-4160286	-	FALSE	FALSE	NA
AN0246	ChrVIII_A_nidulans_FGSC_A4:4153346-4156796	+	FALSE	FALSE	NA
AN0247	ChrVIII_A_nidulans_FGSC_A4:4149030-4152462	-	FALSE	FALSE	NA
AN0248	ChrVIII_A_nidulans_FGSC_A4:4147335-4148990	+	FALSE	FALSE	NA
AN0249	ChrVIII_A_nidulans_FGSC_A4:4144972-4147185	-	FALSE	FALSE	NA
AN0250	ChrVIII_A_nidulans_FGSC_A4:4142165-4144793	-	FALSE	FALSE	NA
AN0251	ChrVIII_A_nidulans_FGSC_A4:4140078-4142260	+	FALSE	FALSE	NA
AN0252	ChrVIII_A_nidulans_FGSC_A4:4138285-4139751	+	FALSE	FALSE	NA
AN0253	ChrVIII_A_nidulans_FGSC_A4:4134486-4137933	-	FALSE	FALSE	NA
AN0254	ChrVIII_A_nidulans_FGSC_A4:4131932-4134031	+	FALSE	FALSE	NA
AN0255	ChrVIII_A_nidulans_FGSC_A4:4126425-4128091	+	FALSE	FALSE	NA
AN0256	ChrVIII_A_nidulans_FGSC_A4:4123059-4126227	+	FALSE	FALSE	NA
AN0257	ChrVIII_A_nidulans_FGSC_A4:4121268-4122614	-	FALSE	FALSE	NA
AN0258	ChrVIII_A_nidulans_FGSC_A4:4119910-4121116	-	FALSE	FALSE	NA
AN0259	ChrVIII_A_nidulans_FGSC_A4:4118698-4119847	+	FALSE	FALSE	NA
AN0260	ChrVIII_A_nidulans_FGSC_A4:4116424-4118277	-	FALSE	FALSE	NA
AN0261	ChrVIII_A_nidulans_FGSC_A4:4113086-4115907	-	FALSE	FALSE	NA
AN0262	ChrVIII_A_nidulans_FGSC_A4:4111630-4112919	-	FALSE	FALSE	NA
AN0263	ChrVIII_A_nidulans_FGSC_A4:4109113-4110496	-	FALSE	FALSE	NA
AN0264	ChrVIII_A_nidulans_FGSC_A4:4107378-4108249	+	FALSE	FALSE	NA
AN0265	ChrVIII_A_nidulans_FGSC_A4:4101607-4107574	-	FALSE	FALSE	NA
AN0266	ChrVIII_A_nidulans_FGSC_A4:4099245-4101099	-	FALSE	FALSE	NA
AN0267	ChrVIII_A_nidulans_FGSC_A4:4098055-4099233	+	FALSE	FALSE	NA
AN0268	ChrVIII_A_nidulans_FGSC_A4:4094742-4097650	-	FALSE	FALSE	NA
AN0270	ChrVIII_A_nidulans_FGSC_A4:4090838-4092194	-	FALSE	FALSE	NA
AN0271	ChrVIII_A_nidulans_FGSC_A4:4089850-4090897	+	FALSE	FALSE	NA
AN0272	ChrVIII_A_nidulans_FGSC_A4:4088037-4089631	-	FALSE	FALSE	NA
AN0273	ChrVIII_A_nidulans_FGSC_A4:4081117-4083431	-	TRUE	FALSE	NA
AN0274	ChrVIII_A_nidulans_FGSC_A4:4079799-4080871	+	FALSE	FALSE	NA
AN0275	ChrVIII_A_nidulans_FGSC_A4:4076739-4078297	+	FALSE	FALSE	NA
AN0276	ChrVIII_A_nidulans_FGSC_A4:4073242-4076509	-	FALSE	FALSE	NA
AN0278	ChrVIII_A_nidulans_FGSC_A4:4068697-4069774	-	FALSE	FALSE	NA
AN0279	ChrVIII_A_nidulans_FGSC_A4:4060736-4062248	+	TRUE	FALSE	NA
AN0280	ChrVIII_A_nidulans_FGSC_A4:4050342-4052370	+	FALSE	FALSE	NA
AN0281	ChrVIII_A_nidulans_FGSC_A4:4046125-4048536	-	FALSE	FALSE	NA
AN0282	ChrVIII_A_nidulans_FGSC_A4:4043580-4046158	+	FALSE	FALSE	NA
AN0283	ChrVIII_A_nidulans_FGSC_A4:4034488-4035662	+	FALSE	FALSE	NA
AN0284	ChrVIII_A_nidulans_FGSC_A4:4028942-4031225	-	FALSE	FALSE	NA
AN0285	ChrVIII_A_nidulans_FGSC_A4:4026052-4027101	+	FALSE	FALSE	NA
AN0286	ChrVIII_A_nidulans_FGSC_A4:4023244-4025512	-	FALSE	FALSE	NA
AN0287	ChrVIII_A_nidulans_FGSC_A4:4018228-4022012	-	FALSE	FALSE	NA
AN0288	ChrVIII_A_nidulans_FGSC_A4:4015157-4017140	-	FALSE	FALSE	NA
AN0289	ChrVIII_A_nidulans_FGSC_A4:4012693-4015209	+	FALSE	FALSE	NA
AN0290	ChrVIII_A_nidulans_FGSC_A4:3998557-3999946	-	FALSE	FALSE	NA
AN0291	ChrVIII_A_nidulans_FGSC_A4:3997783-3998550	+	FALSE	FALSE	NA
AN0292	ChrVIII_A_nidulans_FGSC_A4:3994721-3997636	-	FALSE	FALSE	NA
AN0293	ChrVIII_A_nidulans_FGSC_A4:3992842-3994589	+	FALSE	FALSE	NA
AN0294	ChrVIII_A_nidulans_FGSC_A4:3990901-3992717	-	FALSE	FALSE	NA
AN0295	ChrVIII_A_nidulans_FGSC_A4:3988333-3990916	+	FALSE	FALSE	NA
