CAuris_id	blastx_summary	hasOrtholog	true_calb_ortho	ortho_source	ORF19_ID	CGD_ID	CGD_GENE_NAME
B9J08_004392	vacuolar; proteinsortingassociated; escrtii; complex; subunit; vps; component; pseudogymnoascus; isoform; partial	TRUE	CAL0002978	orthoMCL_blastx	orf19.3942	CAL0000187583	
B9J08_002192	nucleoporin; pom; pore; nuclear; membrane; pomp; envelope; yjm; penicillium; fusarium	TRUE	CAL0004523	orthoMCL_blastx	orf19.2081	CAL0000193704	POM152
B9J08_002193	helicase; rna; atpdependent; ecmp; deahbox; dhr; yjm; containing; hydrolase; nucleoside	TRUE	CAL0004556	orthoMCL_blastx	orf19.2090	CAL0000195316	
B9J08_004389	fbox; complex; ligase; ubiquitin; scf; grr; grra; grrp; yjm; rnilike	TRUE	CAL0002979	orthoMCL_blastx	orf19.3944	CAL0000180420	GRR1
B9J08_004385	initiation; factor; translation; eukaryotic; eif; penicillium; domain; found; pseudogymnoascus; colletotrichum	TRUE	CAL0000279	orthoMCL_blastx	orf19.4261	CAL0000179125	TIF5
B9J08_004381	udpnacetylglucosamine; pyrophosphorylase; nucleotidediphosphosugar; transferase; qrip; uridylyltransferase; penicillium; utpglucosephosphate; yjm; fusarium	TRUE	CAL0000289	orthoMCL_blastx	orf19.4265	CAL0000180804	UAP1
B9J08_004375	phosphoglyceromutase; streptomyces; microbacterium; mutase; phosphoglycerate; multispecies; arthrobacter; curtobacterium; kocuria; bisphosphoglyceratedependent	TRUE	CAL0003574	orthoMCL_blastx	orf19.903	CAL0000185566	GPM1
B9J08_004371	body; charged; multivesicular; snf; family; partial; isoform; snfdomaincontaining; colletotrichum; like	TRUE	CAL0002935	orthoMCL_blastx	orf19.897	CAL0000174239	VPS20
B9J08_004369	kinase; mitogenactivated; hog; map; cmgcmapkp; penicillium; activated; mitogen; fullmitogenactivated; recname	TRUE	CAL0002931	orthoMCL_blastx	orf19.895	CAL0000197240	HOG1
B9J08_004367	vip; actin; cytoskeleton; recognition; rna; domaincontaining; penicillium; pseudogymnoascus; partial; colletotrichum	TRUE	CAL0002930	orthoMCL_blastx	orf19.3932	CAL0000198578	
B9J08_004365	mitochondrial; succinatefumarate; transporter; carrier; antiporter; sfcp; penicillium; pseudogymnoascus; family; citrate	TRUE	CAL0002928	orthoMCL_blastx	orf19.3931	CAL0000176032	SFC1
B9J08_004361	disulfideisomerase; disulfide; isomerase; domain; related; fusarium; penicillium; pdi; thioredoxindomaincontaining; mpd	TRUE	CAL0002895	orthoMCL_blastx	orf19.3920	CAL0000188924	
B9J08_004360	dihydrofolate; reductase; serine; cancerassociated; gene; ovarian; esterase; ovca; hydrolase; fshp	TRUE	CAL0002896	orthoMCL_blastx	orf19.3921	CAL0000181538	
B9J08_002093	ubiquitin; hydrolase; carboxylterminal; ubpp; proteinase; yjm; cysteine; ubiquitinspecific; cterminal; partial	TRUE	CAL0004724	orthoMCL_blastx	orf19.7367	CAL0000188694	UBP1
B9J08_002094	rnabinding; polyadenylated; pub; cytoplasmic; nuclear; nucleolysin; rna; penicillium; recognition; domaincontaining	TRUE	CAL0004726	orthoMCL_blastx	orf19.7368	CAL0000199799	
B9J08_004359	nucleotidase; pyrimidine; fusarium; colletotrichum; oxysporum; pseudogymnoascus; penicillium; sdtp; suppressor; tfiis	TRUE	CAL0002898	orthoMCL_blastx	orf19.3922	CAL0000194158	
B9J08_004357	dipeptidase; metallodipeptidase; dug; glutamate; cysgly; cytosolic; nonspecific; carboxypeptidase; cndp; penicillium	TRUE	CAL0002864	orthoMCL_blastx	orf19.3915	CAL0000193256	
B9J08_004352	adenosylhomocysteinase; sadenosyllhomocysteine; hydrolase; penicillium; pseudogymnoascus; colletotrichum; var; lachancea; hydrolaselike; vkm	TRUE	CAL0002855	orthoMCL_blastx	orf19.3911	CAL0000201641	SAH1
B9J08_004351	ribonuclease; tlike; penicillium; family; trv; pseudogymnoascus; trichoderma; fusarium; vkm; rnase	TRUE	CAL0002906	orthoMCL_blastx	orf19.3926	CAL0000196842	RNY11
B9J08_004349	complex; subunit; beta; isoform; adaptor; penicillium; partial; pseudogymnoascus; repeatcontaining; adaptin	TRUE	CAL0003756	orthoMCL_blastx	orf19.1323	CAL0000198300	
B9J08_004347	gpi; transamidase; component; subunit; class; phosphatidylinositol; glycan; gpip; penicillium; pseudogymnoascus	TRUE	CAL0003516	orthoMCL_blastx	orf19.2677	CAL0000190236	
B9J08_004344	atpase; ptype; phospholipidtranslocating; phospholipidtransporting; fusarium; flippase; colletotrichum; dnfp; dnf; penicillium	TRUE	CAL0003528	orthoMCL_blastx	orf19.2680	CAL0000200114	
B9J08_004343	vacuolar; chaperone; transporter; vtc; fusarium; spxdomaincontaining; penicillium; domaincontaining; polyphosphate; colletotrichum	TRUE	CAL0004171	orthoMCL_blastx	orf19.3363	CAL0000190595	VTC4
B9J08_004340	kinase; serinethreonineprotein; cmgccdkcdk; cyclindependent; kin; pkinasedomaincontaining; serinethreonine; crk; cdk; penicillium	TRUE	CAL0000482	orthoMCL_blastx	orf19.6239	CAL0000201956	
B9J08_004338	tcomplex; subunit; gamma; cct; complex; chaperonin; penicillium; ring; pseudogymnoascus; tcp	TRUE	CAL0004644	orthoMCL_blastx	orf19.4004	CAL0000198447	CCT3
