qseqid	nhits	minBitscore	maxBitscore	frequentWords
B9J08_000035	500	63.5	570	conserved; fusarium; penicillium; nuclear; qrinse; colletotrichum; pseudogymnoascus; partial; oxysporum; trichoderma
B9J08_000036	500	53.9	582	conserved; fusarium; penicillium; nuclear; qrinse; colletotrichum; pseudogymnoascus; oxysporum; var; partial
B9J08_000037	500	568	2118	presequence; protease; mitochondrial; cymp; metalloprotease; yjm; peptidase; fusarium; penicillium; family
B9J08_000038	500	37.4	143	ribosomal; streptomyces; multispecies; mitochondrial; corynebacterium; loc; yml; partial; mycobacterium; subunit
B9J08_000039	500	111	406	vesicle; reticulum; endoplasmic; erv; penicillium; cargo; endosomal; receptor; component; copiicoated
B9J08_000040	33	40	1342	cicc; intermedia; bicuspidata; debaryomyces; picst; scheffersomyces; stipitis; guilliermondii; meyerozyma; pgug
B9J08_000041	25	40.8	350	cicc; intermedia; bicuspidata; conserved; debaryomyces; guilliermondii; meyerozyma; pgug; farinosa; millerozyma
B9J08_000042	500	122	571	dehydratase; serine; lserine; rhizobium; deaminase; dehydrataselthreonine; leguminosarum; ammonialyase; beta; enzyme
B9J08_000043	503	47.4	1541	yjm; penicillium; fusarium; hyjmm; conserved; pseudogymnoascus; function; unknown; colletotrichum; ymlw
B9J08_000044	525	42.4	2060	nmethyltransferase; histonelysine; lysine; specific; histone; dot; dotdomaincontaining; methylation; dotp; methyltransferase
B9J08_000045	500	1018	2045	complex; atpase; isw; chromatin; chain; remodelling; chromatinremodeling; iswi; family; snf
B9J08_000046	500	216	765	uracildna; glycosylase; ungp; dna; uracil; penicillium; partial; nglycosylase; yjm; fusarium
B9J08_000047	500	48.1	667	candidate; suppressor; tumor; subunit; isoform; magnesium; transporter; oligosaccharyl; transferase; dolichyldiphosphooligosaccharideprotein
B9J08_000048	502	43.9	715	membrane; vacuolar; integral; yjm; fusarium; penicillium; thi; mitochondrial; thip; oxysporum
B9J08_000049	360	37.7	451	wall; cell; synthesis; betaglucan; kre; boisynthesis; knh; krep; yjm; lachancea
B9J08_000050	320	38.5	500	wall; cell; synthesis; betaglucan; kre; boisynthesis; krep; yjm; knh; lachancea
B9J08_000051	500	208	430	maintenance; genome; mitochondrial; mgm; partial; penicillium; pseudogymnoascus; colletotrichum; mgmp; mgmpdomaincontaining
B9J08_000052	90	37.7	356	pseudogymnoascus; subunit; vkm; nadhubiquinone; oxidoreductase; aureobasidium; rachicladosporium; mitochondrial; conserved; mdraft
B9J08_000053	500	53.1	251	import; receptor; subunit; tom; mitochondrial; mas; masdomaincontaining; complex; translocase; membrane
B9J08_000054	500	249	946	betaglucosidase; glucan; hydrolase; glycoside; exobetaglucanase; family; precursor; yjm; sprp; exgp
B9J08_000055	500	253	644	homoserine; dehydrogenase; fusarium; penicillium; pseudogymnoascus; oxysporum; colletotrichum; vkm; lachancea; homp
B9J08_000056	959	43.5	3056	iml; vacuolar; membraneassociated; imlp; dishevelled; domain; yjm; fusarium; penicillium; egl
B9J08_000057	500	155	502	glutamine; amidotransferase; subunit; pyridoxal; pyridoxine; pdx; synthase; sno; phosphate; glutaminase
B9J08_000058	500	371	595	pyridoxal; pdxs; lyase; biosynthesis; synthase; phosphate; subunit; pyridoxine; snzp; clostridium
B9J08_000059	71	37	320	permease; assembly; clostridium; peroxisome; abc; transporter; zygosaccharomyces; peptide; cyberlindnera; dsm
B9J08_000060	962	42.7	2717	exchange; factor; guanine; nucleotide; lte; ltep; yjm; gdpgtp; low; essential
B9J08_000061	22	37	115	cicc; intermedia; cyberlindnera; bicuspidata; biogenesis; ribosome; slx; debaryomyces; fabianii; burtonii
B9J08_000062	828	42	1732	yjm; fhlp; fkhp; transcription; fha; fork; head; fhl; factor; forkhead
B9J08_000063	500	337	593	proteasome; component; pre; subunit; beta; type; precursor; nucleophile; chain; aminohydrolase
B9J08_000064	500	248	310	ribosomal; subunit; pseudogymnoascus; partial; rhizopus; var; lachancea; large; schizosaccharomyces; microsporus
B9J08_000065	124	37.7	305	bcas; penicillium; family; amplified; breast; carcinoma; sequence; premrnasplicing; factor; conserved
B9J08_000066	502	43.5	586	finger; phd; ring; domaincontaining; isoform; domain; macaca; gorilla; loc; penicillium
B9J08_000067	501	65.1	664	actin; twinfilin; monomer; binding; depolymerizing; actinbinding; penicillium; isoform; twfp; pseudogymnoascus
B9J08_000068	71	40	623	acinetobacter; biofilminduced; bicuspidata; kluyveromyces; lwoffii; var; partial; conserved; cyberlindnera; pichia
B9J08_000069	500	51.2	330	dehydrogenase; nadh; assembly; subcomplex; alpha; factor; ubiquinone; duf; domain; dufdomaincontaining
B9J08_000070	49	42.7	1057	guilliermondii; meyerozyma; pgug; partial; cicc; intermedia; debaryomyces; conserved; elongisporus; lelg
B9J08_000071	500	308	563	chain; long; sphingolipid; baseresponsive; pil; lsp; penicillium; cell; lachancea; component
B9J08_000072	503	43.5	392	sym; membrane; integral; peroxisomal; family; mpvpmp; mpv; trichinella; partial; mpvlike
B9J08_000073	503	82.4	375	sym; membrane; integral; mpvpmp; family; mpv; penicillium; pmp; fusarium; pseudogymnoascus
B9J08_000074	909	42	1328	phosphatase; regulatory; subunit; serinethreonineprotein; isoform; delta; serinethreonine; kda; penicillium; pseudogymnoascus
B9J08_000075	500	637	923	dehydrogenase; inosinemonophosphate; imp; imd; imdp; inosine; monophosphate; yjm; kudriavzevii; pseudogymnoascus
B9J08_000076	501	62.8	328	calponin; transgelin; myophilin; penicillium; fusarium; domaincontaining; isoform; drosophila; domain; pseudogymnoascus
B9J08_000077	502	40.4	380	mak; component; preribosome; ribosomal; partial; biogenesis; large; subunit; penicillium; pseudogymnoascus
B9J08_000078	501	92	870	transporter; rta; base; longchain; rsb; sphingoid; penicillium; fusarium; domain; rsbp
B9J08_000079	500	128	416	formationassociated; pattern; stua; cell; yjm; sokp; transcription; factor; partial; apses
B9J08_000080	504	41.6	996	transporter; amino; acid; vacuolar; transmembrane; fusarium; penicillium; vesicular; pseudogymnoascus; family
B9J08_000081	949	42	1872	differentiation; regulator; negative; nabp; nrd; rnabinding; yjm; rna; penicillium; recognition
B9J08_000082	502	45.8	426	nuclear; gtpbinding; ran; gspran; gsp; gtpase; rasdomaincontaining; partial; spi; ras
B9J08_000083	40	34.3	185	zfudomaincontaining; snrnp; nuclear; ribonucleoprotein; small; complex; bicuspidata; var; cicc; intermedia
B9J08_000084	334	36.2	106	atp; subunit; synthase; mitochondrial; complex; penicillium; chain; atpase; pseudogymnoascus; colletotrichum
B9J08_000085	54	39.7	755	interactive; nima; coccidioides; cyberlindnera; autophagyrelated; immitis; trichophyton; cicc; intermedia; bicuspidata
B9J08_000086	21	41.6	735	debaryomyces; picst; scheffersomyces; stipitis; fabryi; farinosa; millerozyma; piso; cbs; dehafp
B9J08_000087	500	795	1449	mcm; dna; replication; licensing; factor; maintenance; minichromosome; control; division; cell
B9J08_000088	500	139	267	prefoldin; subunit; penicillium; pseudogymnoascus; colletotrichum; fusarium; partial; pacp; vkm; related
B9J08_000089	500	45.8	615	domaincontaining; uba; ucp; dsc; ligase; ubiquitin; complex; subunit; pseudogymnoascus; partial
B9J08_000090	510	38.9	268	ribosomal; penicillium; subunit; eukaryotic; partial; pseudogymnoascus; rhizopus; large; colletotrichum; microsporus
B9J08_000091	500	155	275	ribosomal; penicillium; subunit; small; partial; mdraft; var; colletotrichum; schizosaccharomyces; metarhizium
B9J08_000092	783	58.9	8278	dynein; heavy; chain; cytoplasmic; cytosolic; isoform; pseudogymnoascus; fusarium; colletotrichum; bactrocera
B9J08_000093	853	41.6	1045	carrier; mitochondrial; calcium; dependent; fusarium; calciumbinding; sal; penicillium; oxysporum; solute
B9J08_000094	959	76.3	1738	repair; mismatch; dna; pms; mutl; pmsp; endonuclease; yjm; fusarium; penicillium
B9J08_000095	524	52.4	1676	transcription; factor; pseudogymnoascus; sterol; vkm; penicillium; control; uptake; domain; fusarium
B9J08_000096	543	20	1533	transcription; factor; pseudogymnoascus; vkm; penicillium; fusarium; sterol; colletotrichum; control; uptake
B9J08_000097	500	186	840	carnosine; nmethyltransferase; isoform; fusarium; methyltransferase; ndomaincontaining; drosophila; family; upf; penicillium
B9J08_000098	500	220	436	vacuolar; rab; gtpase; sortingassociated; family; ypt; rasdomaincontaining; rablike; gtpbinding; ras
B9J08_000099	500	158	620	periplasmic; binding; proteinlike; fusarium; penicillium; conserved; pseudogymnoascus; colletotrichum; abctype; vkm
B9J08_000100	553	40.4	657	phosphatase; tyrosineprotein; receptortype; isoform; type; nonreceptor; gamma; partial; eta; low
B9J08_000101	501	39.3	525	far; upstream; elementbinding; isoform; sinensis; armiger; hipposideros; myotis; alligator; bellii
B9J08_000102	500	790	1150	shock; heat; ssb; hsplike; hsp; chaperone; penicillium; family; hsca; pseudogymnoascus
B9J08_000103	511	40	727	kinase; rio; serinethreonineprotein; riodomaincontaining; atypicalriorio; family; penicillium; partial; serine; riop
B9J08_000104	76	39.3	671	lipolytica; yarrowia; cladophialophora; cyberlindnera; fbox; grr; leucinerich; repeat; mycobacterium; jadinii
B9J08_000105	501	83.2	1544	decapping; enzyme; dcp; subunit; mrna; dcpp; mrnadecapping; complex; yjm; dcpdomaincontaining
B9J08_000106	500	77	576	atp; atpase; assembly; complex; mitochondrial; subunit; synthase; penicillium; fusarium; factor
B9J08_000107	500	143	235	ribosomal; slike; partial; subunit; rps; var; drosophila; lachancea; small; chain
B9J08_000108	500	263	1167	phosphatase; family; phophatase; dehydrogenase; pyruvate; penicillium; serinethreonine; type; fusarium; mitochondrial
B9J08_000109	629	49.7	2405	helicase; ski; rna; antiviral; skiw; box; penicillium; deaddeah; atpdependent; isoform
B9J08_000110	26	39.3	565	cicc; intermedia; bicuspidata; debaryomyces; farinosa; millerozyma; piso; guilliermondii; meyerozyma; pgug
B9J08_000111	751	142	1595	spermatogenesisassociated; isoform; atpase; family; aaa; partial; aaadomaincontaining; afgp; cryptococcus; cdc
B9J08_000112	500	81.3	516	peroxisomal; biogenesis; factor; pex; isoform; peroxin; pexdomaincontaining; partial; fusarium; family
B9J08_000113	500	196	330	enzyme; sumoconjugating; ubiquitinconjugating; ubc; sumo; conjugating; scelike; penicillium; kda; ligase
B9J08_000114	500	416	845	fructosebisphosphatase; phosphatase; bifunctional; phosphofructokinasefructosebisphosphate; phosphofructokinase; penicillium; variant; pseudogymnoascus; colletotrichum; fbpp
B9J08_000115	178	39.3	1325	ssyp; yjm; protease; serine; ssy; pseudogymnoascus; component; spssensor; lachancea; peptidase
B9J08_000116	1	324	324	cell; wall
B9J08_000117	246	37	491	yjm; wall; cell; sedp; conserved; partial; gpianchored; dubliniensis; mya; tropicalis
B9J08_000118	766	41.2	1291	repeatcontaining; arm; armlike; pseudogymnoascus; fusarium; cryptococcus; colletotrichum; armadillotype; vkm; yjm
B9J08_000119	44	26.2	171	pichia; cicc; intermedia; bicuspidata; kudriavzevii; cbs; debaryomyces; dehaap; hansenii; burtonii
B9J08_000120	500	430	1513	tsr; ribosome; biogenesis; processing; prerrna; tsrp; dufdomaincontaining; yjm; penicillium; fusarium
B9J08_000121	508	43.9	749	finger; zinc; factor; rei; pres; yjm; reip; cytoplasmic; penicillium; biogenesis
B9J08_000122	877	45.1	1034	dnaj; chaperone; mas; import; mitochondrial; ydjp; penicillium; like; regulator; homolog
B9J08_000123	501	315	1843	rad; dna; recombination; repair; radlike; activator; enzyme; fusarium; vac; complex
B9J08_000124	40	42	980	cicc; intermedia; bicuspidata; burtonii; hypbudraft; hyphopichia; guilliermondii; meyerozyma; pgug; debaryomyces
B9J08_000125	56	30.8	53.1	trichinella; partial; trichuris; repeat; tetratricopeptide; zimbabwensis; suis; gossypium; raimondii; trichiura
B9J08_000126	11	30.4	47.8	tetrahymena; thermophila; ttherm; partial; clavispora; clug; lusitaniae; cyberlindnera; cybjadraft; jadinii
B9J08_000127	500	264	1038	nadphadrenodoxin; oxidoreductase; mitochondrial; reductase; isoform; ferredoxinnadp; partial; arh; arhp; penicillium
B9J08_000128	501	84.3	703	lipase; penicillium; triacylglycerol; extracellular; yarrowia; lipolytica; esterase; colletotrichum; class; precursor
B9J08_000129	500	53.9	179	apoptosis; inhibitor; tpregulated; mitochondrial; distribution; morphology; partial; mdm; fusarium; distributionmorphology
B9J08_000130	521	44.7	942	complex; dash; subunit; ask; penicillium; conserved; partial; colletotrichum; pseudogymnoascus; fusarium
B9J08_000131	953	45.4	1825	gtpaseactivating; gtpase; rho; rhotype; rga; activator; rgap; yjm; rhogap; rhogapdomaincontaining
B9J08_000132	500	383	954	anp; complex; subunit; polymerase; mannan; family; glycosyltransferase; yjm; anpp; penicillium
B9J08_000133	500	881	2354	condensin; structural; subunit; complex; maintenance; smc; chromosomes; nuclear; recfrecnsmc; smcp
B9J08_000134	501	52	852	membrane; peroxisomal; integral; pex; pexp; peroxin; penicillium; fusarium; yjm; pexpdomaincontaining
B9J08_000135	500	71.2	520	factor; premrnasplicing; splicing; prpdomaincontaining; prp; premrna; mrna; partial; channel; potassium
B9J08_000136	500	53.1	103	ribosomal; partial; subunit; penicillium; large; rhizopus; circinelloides; var; mucor; probable
B9J08_000137	508	40.8	693	transcription; factor; initiation; iif; subunit; beta; tfiif; penicillium; pseudogymnoascus; fusarium
B9J08_000138	501	54.7	916	transferase; argininetrnaprotein; arginyltrnaprotein; atep; yjm; penicillium; pseudogymnoascus; partial; fusarium; colletotrichum
B9J08_000139	576	42.4	1609	yjm; hyjmj; mannosylphosphate; transferase; mnn; debaryomyces; guilliermondii; meyerozyma; pgug; regulator
B9J08_000140	500	59.3	271	oxidase; cytochrome; subunit; via; mitochondrial; penicillium; pseudogymnoascus; partial; fusarium; chain
B9J08_000141	875	47.8	952	phosphatase; subunit; regulatory; ppa; penicillium; cdcp; colletotrichum; var; fusarium; lachancea
B9J08_000142	501	44.3	205	ribosomal; slike; partial; subunit; isoform; penicillium; microsporus; rhizopus; small; schizosaccharomyces
B9J08_000143	500	92	299	cytochrome; oxidase; subunit; mitochondrial; polypeptide; coxbdomaincontaining; penicillium; precursor; pseudogymnoascus; fusarium
B9J08_000144	500	124	756	dehydrogenase; hydroxyacid; reductase; dglycerate; lactobacillus; yjm; glyoxylate; dihydrofolate; amycolatopsis; hyjmp
B9J08_000145	1955	42	2029	sla; cytoskeleton; assembly; control; actin; complex; cytoskeletonregulatory; slap; fusarium; yjm
B9J08_000146	500	252	1023	nadenosinemethyltransferase; subunit; kda; isoform; mettl; mtalike; imep; mtadomaincontaining; partial; probable
B9J08_000147	501	55.1	341	endoplasmic; reticulum; membrane; duf; dufdomaincontaining; domaincontaining; domain; penicillium; celike; var
B9J08_000148	501	166	1435	subunit; stt; glycosyltransferase; oligosaccharyl; transferase; dolichyldiphosphooligosaccharideprotein; family; oligosaccharyltransferase; penicillium; sttp
B9J08_000149	520	42.7	1466	zinc; fyve; finger; domain; pibp; yjm; penicillium; fyvetype; fyvedomaincontaining; domaincontaining
B9J08_000150	500	116	290	succinate; subunit; dehydrogenase; cytochrome; mitochondrial; penicillium; ubiquinone; sdhp; pseudogymnoascus; yjm
B9J08_000151	400	39.7	1159	repeat; babindraft; babjeviella; inositovora; leucine; rich; receptor; domainlike; tolllike; clostridium
B9J08_000152	101	40	686	conserved; cicc; intermedia; bicuspidata; debaryomyces; guilliermondii; meyerozyma; pgug; clavispora; clug
B9J08_000153	106	33.9	139	fusarium; colletotrichum; duf; complex; dash; subunit; containing; domain; conserved; oxysporum
B9J08_000154	108	35.4	204	mitochondrial; assembly; lachancea; cox; cmcp; conserved; kudriavzevii; hanseniaspora; partial; zygosaccharomyces
B9J08_000155	377	37.7	395	spc; kinetochore; penicillium; conserved; colletotrichum; spcdomaincontaining; fungi; type; pseudogymnoascus; subunit
B9J08_000156	513	38.1	233	ribosomal; mitochondrial; yml; subunit; mdraft; penicillium; probable; large; mrplp; precursor
B9J08_000157	48	35	102	rhizopus; rachicladosporium; cicc; intermedia; bicuspidata; var; debaryomyces; guilliermondii; meyerozyma; pgug
B9J08_000158	20	38.1	305	fonsecaea; cladophialophora; cicc; intermedia; bicuspidata; burtonii; hypbudraft; hyphopichia; ayo; clavispora
B9J08_000159	511	45.4	270	yjm; hkrp; msbp; mucin; signaling; fusarium; penicillium; partial; pseudogymnoascus; msb
B9J08_000160	213	40.4	1011	snu; component; nuclear; ribonucleoprotein; small; snup; penicillium; yjm; zygosaccharomyces; lachancea
B9J08_000161	502	48.5	1456	factor; premrnaprocessing; splicing; mrna; prp; prpp; yjm; penicillium; pseudogymnoascus; partial
B9J08_000162	513	40.8	865	repair; dna; rad; rnilike; rhp; radp; penicillium; yjm; cryptococcus; partial
B9J08_000163	502	39.7	522	guanylyltransferase; trnahis; probable; thg; isoform; trna; penicillium; partial; pseudogymnoascus; fusarium
B9J08_000164	514	44.7	3128	pdrp; transporter; resistance; cdr; yjm; multidrug; abc; cassette; pdr; drug
B9J08_000165	527	38.1	156	nedd; neddlike; ubiquitin; ubiquitinlike; rub; ubiquitinneddlike; isoform; precursor; drosophila; penicillium
B9J08_000166	502	69.3	1466	factor; clf; premrnasplicing; crooked; cell; control; cycle; necklike; cwf; clfp
B9J08_000167	11	32	50.8	capsulata; kuraishia; product; unnamed; kudriavzevii; partial; pichia; clavispora; clug; lusitaniae
B9J08_000168	503	78.2	1370	reductase; frep; yjm; ferric; transmembrane; component; conserved; mya; tropicalis; cicc
B9J08_000169	500	68.6	259	sulfiredoxin; isoform; drosophila; partial; sulfiredoxinlike; lachancea; ironsulfur; calcitrans; stomoxys; bactrocera
B9J08_000170	500	254	744	iron; permease; transporter; membrane; plasma; highaffinity; ftr; fusarium; family; colletotrichum
B9J08_000171	500	271	808	kinase; bur; serinethreonineprotein; cmgccdk; pkinasedomaincontaining; partial; sgvp; penicillium; cyclin; fusarium
B9J08_000172	502	113	892	transporter; myoinositol; general; substrate; fusarium; mfs; itrp; yjm; penicillium; colletotrichum
B9J08_000173	500	331	563	cytochrome; mitochondrial; heme; precursor; subunit; reductase; penicillium; cytp; chain; ubiquinolcytochrome
B9J08_000174	500	380	809	cystathionine; gammalyase; metabolism; cysmet; plpdependent; penicillium; enzyme; gammasynthase; partial; pseudogymnoascus
B9J08_000175	500	662	2123	atpase; ptype; calciumtranslocating; calciumtransporting; calcium; pmcatype; catransporting; pmcp; fusarium; yjm
B9J08_000176	105	38.5	474	cogp; complex; golgi; conserved; oligomeric; subunit; yjm; lachancea; zygosaccharomyces; component
B9J08_000177	525	40.8	778	atpaseassociated; factor; proteasomal; isoform; partial; rpnp; like; yjm; repeatlike; repeat
B9J08_000178	505	68.9	252	sterolbindinglike; peroxisomal; acidbinding; fatty; transfer; sterolbinding; oleateinduced; lipid; scp; sterol
B9J08_000179	67	37.4	341	rdna; transcription; rrtp; yjm; regulator; fullregulator; recname; streptomyces; yilclike; cyberlindnera
B9J08_000180	634	42	2065	dna; repair; repairtranscription; mms; excision; nucleotide; metmms; homolog; arm; repeatcontaining
B9J08_000181	739	52.8	5394	cell; morphogenesis; pag; fusarium; taop; activator; oxysporum; partial; pseudogymnoascus; penicillium
B9J08_000182	500	167	443	finger; translation; machineryassociated; ccch; binding; dna; zinc; penicillium; partial; tmap
B9J08_000183	507	41.2	1041	actin; patch; app; cytoskeleton; organization; penicillium; fusarium; pseudogymnoascus; phosphatidate; appp
B9J08_000184	918	40.8	1255	bzz; actin; polymerization; fusarium; penicillium; metarhizium; pseudogymnoascus; colletotrichum; bzzp; arsef
B9J08_000185	501	47.8	376	ribosomal; partial; subunit; small; penicillium; rpsbp; colletotrichum; var; rhizopus; lachancea
B9J08_000186	501	189	454	isomerase; ribosephosphate; phosphate; ribose; partial; isoform; low; quality; ketolisomerase; isomeraselike
B9J08_000187	500	209	335	factor; adpribosylation; like; superfamily; arfsar; isoform; arf; gtpase; cps; partial
B9J08_000188	500	894	1509	helicase; rna; factor; atpdependent; prp; premrnasplicing; splicing; premrna; containing; hydrolase
B9J08_000189	501	226	769	abc; kinase; domaincontaining; chaperone; aarf; mitochondrial; molecular; atypicalabcabca; coq; abcdomaincontaining
B9J08_000190	505	68.2	1809	ribosomal; fusarium; conserved; penicillium; oxysporum; pseudogymnoascus; colletotrichum; trichoderma; related; metarhizium
B9J08_000191	2	36.2	37	ydrc
B9J08_000192	500	1412	2436	rna; polymerase; dnadirected; subunit; rpa; beta; polypeptide; dna; betaprime; subunits
B9J08_000193	500	115	450	methyltransferase; family; hemk; member; mtq; isoform; catalytic; erf; penicillium; subunit
B9J08_000194	501	220	727	branchpointbridging; zinc; knuckle; factor; partial; mslp; msl; transcription; splicing; penicillium
B9J08_000195	500	68.6	713	esterase; hydrolase; sayp; alphabeta; bordetella; partial; acetyl; yjm; pertussis; esteraselipase
B9J08_000196	86	40.4	1530	nucleoporin; nup; cyberlindnera; nuclear; pore; fabianii; lacrymans; var; nupplike; complex
B9J08_000197	54	41.2	1529	isoform; girdin; coturnix; japonica; daple; myosin; gallus; anas; platyrhynchos; chain
B9J08_000198	541	39.7	796	meiotic; recombination; repeatcontaining; ski; repeat; rec; domaincontaining; drosophila; repeatlike; partial
B9J08_000199	238	40.8	1364	mis; partial; domaincontaining; pseudogymnoascus; colletotrichum; domain; centromere; misdomaincontaining; vkm; metarhizium
B9J08_000200	504	43.5	1922	synthetase; leucyltrna; leucinetrna; ligase; mitochondrial; namp; fusarium; yjm; precursor; penicillium
B9J08_000201	610	41.2	1449	pentatricopeptide; repeatcontaining; atg; mitochondrial; isoform; mitochondriallike; group; ccm; factor; intron
B9J08_000202	500	262	1343	diphthineammonia; ligase; isoform; family; tigr; ligaselike; partial; endoribonuclease; meiotically; upregulated
B9J08_000203	500	238	311	ribosomal; partial; isoform; subunit; drosophila; lachancea; schizosaccharomyces; var; dsm; chain
B9J08_000204	500	274	1353	golgi; membrane; casp; homeobox; cutlike; coy; coyp; yjm; penicillium; pseudogymnoascus
B9J08_000205	500	114	589	upf; pbdc; dolicholphosphate; mannosyltransferase; dufdomaincontaining; isoform; fusarium; pseudogymnoascus; pbdclike; colletotrichum
B9J08_000206	503	51.6	1628	transport; seca; isoform; sec; secb; plasmodium; secalike; seclike; drosophila; transporter
B9J08_000207	389	37.7	290	loc; ribosomal; subunit; assemblyexport; penicillium; assembly; component; locp; preribosome; export
B9J08_000208	500	70.9	509	mitochondrial; rhomboidlike; presenilinsassociated; rhomboid; isoform; protease; family; serine; intramembrane; rhomboiddomaincontaining
B9J08_000209	500	65.5	119	ribosomal; acidic; penicillium; lachancea; large; subunit; schizosaccharomyces; palpha; var; proteindomaincontaining
B9J08_000210	421	38.9	315	penicillium; ecmp; pseudogymnoascus; conserved; yjm; fusarium; colletotrichum; trichophyton; vkm; partial
B9J08_000211	8	36.6	370	cicc; intermedia; lilacinum; purpureocillium; abc; acid; amino; chlamydia; transporter; vfpbj
B9J08_000212	25	32.3	48.5	yjm; hyjmp; fullputative; recname; echp; vin; yhrcb; yhrwa; scheffersomyces; stipitis
B9J08_000213	582	41.6	1465	gtpase; mitochondrial; dynamin; msp; mgm; dynaminlike; mgmp; yjm; family; penicillium
B9J08_000214	518	41.2	1617	nucleolar; small; rnaassociated; repeatlike; nanp; netassociated; nuclear; repeatcontaining; yjm; domaincontaining
